index,statement,label
147,The wealth gap between blacks and whites in the United States is greater than the black-white wealth gap was in apartheid South Africa.,1
148,"On the last night of the General Assembly, by 11 oclock 95 to 98 percent of the business was done. So we really didnt have that late-night session. We were just holding on one bill.",1
149,"Mike Madigan made a fortune on tax appeals Saving his friends millions... Its an inside game played by people like Merry Marwig, Madigans hand-picked candidate. When Marwig thought her property taxes were too high she got them lowered at your expense. Saved so much she did it again. Marwig and Madigan: Profiting from the same corrupt system.",1
150,Amnesty Warns Against Using White Phosphorus In Mosul Operation,1
151,"Turkeys today weigh 29.8 pounds. In the 30s, they weighed 13.2 pounds.",0
152,"In South Florida, weve had nine inches of sea-level rise since the 1920s.",0
153,Trump promises $100 Billion to Black and Latino communities,1
154,New World Order Globalist Soros Is The Hidden Hand Behind Trump Protests And Riots,1
155,Wayne Allen Root “It’s Trump or it’s the End of America” | Follow Trump,1
156,Says he has engaged in the political process only in the past decade.,1
157,Says Donald Trump brings in hundreds of foreign workers to replace Americans.,0
158,Olympic Ban Adds to Russia’s Culture of Grievances - The New York Times,0
159,"""I have had the challenge during this administration to suspend no less than 37 public officials in about 36 months.""",0
160,The Wisconsin school voucher program has no research that shows that its going to improve student learning.,0
161,Travis County is surrounded by red counties.,0
162,Says Hillary Clintons been very clear where she stands on trade.,1
163,"U.S. Presses for Truce in Syria, With Its Larger Policy on Pause - The New York Times",0
164,A record number of Hispanics were elected to the U.S House of Representatives...,0
165,Wisconsin Gov. Scott Walkers budget okays disposing of unclaimed pound dogs to university research facilities.,1
166,Obamacare medical device tax has led to the loss of thousands of jobs in U.S.,0
167,Says that you cant destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.,1
168,Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?,1
169,"Of every three dollars in food stamps for the needy, seven dollars in salaries and pensions (go to) the bureaucrats who are supposed to be taking care of the poor.",1
170,Elon Musk Ted Talk Claims Teslas Traveling Coast to Coast by Year End - Breitbart,0
171,Four (maybe five) Latinos have served on the Austin City Council.,0
172,State employees havent received a raise in five or six years.,0
173,We lock up close to 2.4 million people in this country. Were locking up more people than China and Russia.,0
174,Michael Moore Wants A Spot in Hillary’s Cabinet,1
175,"I delivered a flat tax for my state. I took my state to No. 1 in job creation. With all due respect to what Rick Perry has said about Texas, we did a little bit better.",0
176,"According to The Book of Revelations the anti-christ ... will be a man, in his 40s, of MUSLIM descent ... is it OBAMA??",1
177,All University of Texas student-athletes get an iPad.,1
178,"The Florida House is ""holding the FINAL public hearing"" of a controversial education bill in the middle of spring break...""when they hope (teachers) are not watching or listening.""",1
179,VA fails to properly examine thousands of veterans,1
180,Says the federal government threatened to impose a no-fly zone in Texas if state legislators bar airport security officials from performing pat-downs.,0
181,"The Obama White House is renaming Christmas trees ""holiday trees.""",1
182,"""The truth is any oil that would be drilled could be sent to any other country in the world, reducing our use of foreign oil not by one single drop.""",0
183,"The U.S. Army had a training program that put evangelical Christians, Catholics and Mormons in the same category of religious extremism as we do al-Qaida.",1
184,"Many of (Hillary Clintons) friends took bigger deductions (than me). Warren Buffett took a massive deduction. (George) Soros, who is a friend of hers, took a massive deduction.",1
185,Two years after the worst recession most of us have ever known ... corporate profits are up.,0
186,Says that the federal gas tax has not been raised since 1993.,0
187,"Comment on 10 More Beautiful Images That Remind You We Still Live In A Beautiful World, With Beautiful People by 10 More Beautiful Images That Remind You We Still Live In A Beautiful World, With Beautiful People - Upside Down Media",1
188,White House spokesman Robert Gibbs lied when he said President Obamas birth certificate is posted on the Internet.,1
189,(T)he United States government and its Constitution says that people can be put to death.,0
190,Says a majority of Americans -- and Republicans -- support his approach for deficit reduction.,0
191,"Last week the Texas State Board of Education (SBOE), led by Rick Perrys appointee, voted to remove Thomas Jefferson from social studies textbook standards. Thats right. Thomas Jefferson... was deleted from a list of historical figures who inspired political change.",0
192,Barack Obama opposed a bill that would have saved Gianna Jessen's life.,1
193,"Why Everyone on Facebook Is Checking into Standing Rock, North Dakota",1
194,Wisconsin now ranks among the top 10 states for out-migration.,1
195,"""Let's not blame President Bush for all of this. We've got a Congress who sat around on their hands and done nothing but spend a lot of money ... leaving us $9-trillion in debt that we're passing on to our grandchildren.""",0
196,"We were one of the first states in the U.S. to build sewers, to bring the treatment plant on line.",0
197,"As More Devices Board Planes, Travelers Are Playing With Fire - The New York Times",0
198,Welcome to the Trump World Order      : Information,1
199,Six justices on the U.S. Supreme Court have been confirmed in presidential election years since 1912.,0
200,Ann Coulter Tweet About Alleged Illegal Immigrant Rape Flagged as ’Hate Speech’ by Twitter - Breitbart,0
201,"Once our Blueprint for Prosperity is signed into law, we will have delivered $2 billion in tax relief.",0
202,On how money from a possible lease of the Ohio Turnpike would be used,0
203,MS-13 Members Charged with Machete Attacks in U.S.A.,0
204,"At some point in their lives, 99% of women use birth control.",0
205,How to Survive Being Lost in the Woods: Tips & Tricks that May Save Your life – 11/17/16,1
206,"Barack Obama wrote a thesis at Columbia University in which he criticized ""plutocratic thugs"" and said the Constitution gave Americans ""the shackles of hypocrisy.""",1
207,President Obama in November of last year wiped away (a program) that allows for shared fingerprinting for those who are behind bars so you know who is here legally and illegally.,0
208,On the president unilaterally authorizing a military attack that does not involve stopping an actual or imminent threat to the nation.,1
209,"The governors not taking his own fiscal advice. ... In the first fiscal quarter of this year, weve seen a 13.5 percent increase in spending, double-digit spending out of the executive branch in the State of Texas.",0
210,What Young Men Need To Know To Avoid A Statutory Rape Accusation,1
211,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",0
212,Chris Paul’s Fast Hands and Gruesome Fingers - The New York Times,0
213,"Despite opposition from national Club for Growth, Club for Growth Wisconsin has endorsed him for U.S. Senate.",1
214,"Marco Rubio controlled funds that ""out of the $600,000 that were raised, only $4,000 went to candidates to try to improve their chances to be elected to office.""",0
215,"In Minnesota, well over 6,200 election-day registrations from 2008 proved fraudulent.",1
216,"David Beckhams proposed soccer stadium at Miamis Port threatens the 207,000 jobs and $27 billion economic impact tied to the cargo and cruise industries.",1
217,"In the 80s, Democrats promised spending cuts, but delivered only tax hikes.",1
218,I have a very conservative voting record.,0
219,The state budget will include scholarship money for minority students as a concession to Senate Democrats for supporting the GOP-initiated transportation bill.,0
220,Republicans in Congress refuse to list a single tax loophole they are willing to close.,0
221,"Under Scott Walker, right now, were 46th in the country in terms of new businesses started.",0
222,"After J.D. Hayworth ""was voted out of Congress, he became a registered lobbyist"" who was ""paid thousands by a Florida corporation to lobby the very committee he used to serve on.""",0
223,"""We are winning the popular vote.""",1
224,Angel Mom Laura Wilkerson Launches ’Enforce the Law’,0
225,War for the soul of the TxDems: 57% of Dem incumbents for Tx House LOST their primary.,1
226,Snowstorm Brings Wintry Mix of Slush and Gripes - The New York Times,0
227,The biggest contribution behind a decrease in U.S. unemployment was 1.2 million people leaving the workforce,1
228,Says the claims that Texas faces a $27 billion shortfall are flat-out false.,1
229,Wisconsins 6th congressional district has more manufacturing jobs than almost any other in the nation.,0
230,"More than 3,000 homicides were committed by illegal aliens over the past six years.",1
231,"Scary fact about our national debt. In 1791 it was $75 million. Today, it rises by that amount in about an hour.",0
232,"Turkey Targets Christians – World leaders, the media, and human rights groups remain SILENT",1
233,"Erdogan Says Follower of Gulen, His Rival, Killed Russian Envoy - The New York Times",0
234,Ronald Reagans philosophy of peace through strength is why the Iranians released the hostages on the same day and at the same hour that Reagan was sworn in.,1
235,The health care law is job killing.,1
236,"American families work hard to earn $4,250 a month. Obama is spending $18,972 a month on each illegal immigrant child.",1
237,"Since President Obama took office, gas prices have gone up 67 percent.",0
238,What to Do About ‘Fake News’,1
239,Say Portland Public Schools central administration makes up less than 4 percent of the staff.,0
240,"Obama's one education accomplishment was ""legislation to teach 'comprehensive sex education' to kindergartners.""",1
241,We are taking Virginias investment in public education to the highest level in the commonwealths history.,1
242,A hidden provision in the health care law taxes sporting goods as medical devices.,1
243,Live Nation Postpones Six New York Concerts in Wake of Shooting - The New York Times,0
244,Student loans from the federal government issued between 2007 and 2012 are on target to produce $66 billion in profits for the United States government.,0
245,"Says state Sen. Randy Hopper, R-Fond du Lac, unlike typical taxpayers, didnt pay taxes",1
246,We spend more money on lobbying than we do on campaigns.,0
247,Says Chris Christie instituted an Internet sales tax.,1
248,"""There's more than 100,000 people working at the Department of Agriculture. That's 1 employee for every 30 farmers.""",0
249,You've heard endlessly about waterboarding. It happened to three terrorists.,0
250,Girl Put Aluminum Foil After Washing Her Hair and She Delighted The Best Hairdressers of The World,1
251,Says Wisconsin Gov. Scott Walker has threatened to call out the National Guard if workers protest against changes to bargaining laws.,1
252,"Assange: Clinton resisted FBI, and now they’re out for payback (JOHN PILGER EXCLUSIVE)",1
253,California has seen a 56 percent decline in the gun murder rate since the 1990s.,0
254,Rick Santorum reformed welfare.,0
255,Says Mark Pryor continues to insist that Obamacare is an amazing success.,1
256,Says unemployment in Ohio is significantly higher than the unemployment rate in states which are not forced union states and its always been that way.,1
257,"For the first time in 35 years, we have more businesses closing than starting.",0
258,Today roughly half of born-again Christians arent voting. Theyre staying home.,1
259,"In the early 1960s, all levels of government were consuming about 27 percent of the U.S. economy, a number that has risen to 37 percent today. With that trendline, we cease at some point to be a free economy.",1
260,"When Obama was interviewed by American reporters in Asia, ""Not one of them asked me about Asia. Not one of them asked me about the economy.""",1
261,Missouri is the state with the lowest paid workers.,0
262,Speaker Ryan Considers Fines to Prevent Gun Control ’Sit-In’,0
263,An analysis showed that Bernie Sanders would have won the Democratic nomination if it were not for the Super Delegates.,1
264,Says the Panhandle has had its highest-ever bed tax collections in 2011.,0
265,"For African-Americans between the ages of 17 and 20, the real unemployment rate is 51 percent.",0
266,Says a Bureau of Labor Statistics report attributed a sharp increase in work-related fatalities to increasing numbers of employees and drivers could not read or understand warning signs in English.,1
267,No other public or private business in America except for the U.S. Postal Service must fund 100 percent of employee retirement and retirement health costs in advance.,0
268,"Under Scott Walkers tax plan, the average Wisconsin taxpayer got just $11 a month. But corporations got $610 million in tax cuts. Millionaires got at least $1,400 per year.",0
269,The Chicago Bears have had more starting quarterbacks in the last 10 years than the total number of tenured (UW) faculty fired during the last two decades.,0
270,"Says that under his tax plan, no matter where you are in the stratosphere, youre going to be getting a tax cut.",1
271,Says the number-one source of illegal immigration is people legally coming to the United States on a tourist visa or a student visa and then disappearing into the population and never being heard from again.,1
272,"""Obama voted to support President Bush between 40 and 50 percent of the time over the past two years.""",0
273,"""The truth of the matter is that during my administration, the FBI's crime statistics show that violent crime was reduced in Massachusetts by 7 percent.""",0
274,"Says Texas has one state inspector for every 4,500 oil and gas wells.",0
275,"Says in our region, 2011 was worst drought year ever recorded.",0
276,"For 21 countries in Sub-Saharan Africa, we simply do not have data to say anything about trends in poverty.",0
277,"Romneycare sent costs spiraling out of control in Massachusetts, hiking premiums, squeezing household budgets.",1
278,Says 25 percent of Oregonians oppose the death penalty.,0
279,"As part of efforts to rein in protesters, Republicans in Wisconsin have bolted windows inside the Capitol shut.",1
280,Republican Mark Kirk is outsourcing his campaign to a Super PAC funded almost exclusively by a bunch of hedge fund billionaires. ...I dont have a Super PAC.,1
281,Says Governor-elect Scott Walkers choice as transition team leader killed the release of a damaging report on Walkers record in the days leading up to the election.,1
282,"After Obama Push for Clemency, Hints of Reversal Likely to Come - The New York Times",0
283,"For every $10,000 invested in business incubators, up to nearly 70 local jobs are generated.",0
284,BBC: Nato sends a message to Russia,1
285,The federal government has 77 different means-tested social welfare programs.,0
286,Bicycle ownership drops by half while obesity in Rhode Island rises by 154 percent,1
287,"Maggie Hassan raised tuition, making it the highest in America.",1
288,Millennial Entrepreneurs Give Sleepy Montevideo a Fresh Jolt - The New York Times,0
289,"Says how much money the government is collecting from people...in terms of the gross domestic product is the lowest in 40, 50 years.",0
290,"Before we even passed health care, 4 millions kids got health insurance that didnt have it before, through the Childrens Health Insurance Program.",0
291,Were going to be looking at $8 billion a day that were going to be pouring into foreign countries in order to import that make-up fuel that were going to need to take the place of what we could have gotten out of the gulf.,1
292,"On ISIS, (Michael Bennet) chose the (Washington) insiders over our generals.",1
293,Texas Police Arrest Trump Voter for Wearing “Deplorable” T-Shirt,1
294,A government report shows that alternatives to the Keystone XL pipeline are worse for the environment.,0
295,North Korea’s Launch of Ballistic Missiles Raises New Worries - The New York Times,0
296,"""Whether in Illinois or Washington, Barack Obama has bridged partisanship to bring about significant reform.""",0
297,"Obama ""suggested bombing Pakistan.""",1
298,The @nytimes states today that DJT believes more countries should acquire nuclear weapons. How dishonest are they. I never said this!,1
299,Ohio Colleges Demand Students Remain Defenseless Despite Campus Carry Law - Breitbart,0
300,95 percent of job creators say Wisconsin is headed in the right direction.,0
301,Only in Washington would politicians spend $27 million to teach Moroccans how to make pottery.,1
302,"As a result of welfare reform, poverty levels went down to the lowest level ever for ... African-American children.",0
303,"Right now, we have the lowest gas tax of anywhere in the country.",0
304,Says President Barack Obama thinks Americans are lazy.,1
305,"Scott Walker to cut $300 million from universities, spend $500 million on a pro basketball stadium.",0
306,"Among the nations 51 largest metropolitan areas, Milwaukee is the only one where the poverty rate is more than four times greater in the city than it is in the suburbs.",0
307,Let me say that I dont think (Bernie Sanders has) had a single negative ad ever run against him.,1
308,"Opinion polls show that the majority of Americans, and the majority of New Jerseyans, favor marriage equality for same sex couples.",0
309,Shirley Sherrod was forced to resign before anybody on Fox said a word about this.,0
310,,1
311,"Since 2000, ""the Texas clean air program achieved a 22 percent reduction in ozone and a 46 percent decrease in NOx emissions.""",0
312,"Says Tom Nelson backed higher taxes on Social Security, costing Wisconsin seniors $95 million.",1
313,This outake of Brian Blessed swearing his head off on GamesMaster is why he’s a national treasure,1
314,Trump to star in ‘The President’ a new Reality TV show on Fox,1
315,"However, it took $19.5 million in Oregon Lottery funds for the Port of Newport to eventually land the new NOAA Marine Operations Center-Pacific.",0
316,The 2012 National Survey on Drug Use and Health found that up to half of daily marijuana smokers become addicted -- an estimated 2.7 million people in the U.S.,0
317,"Blue Cross new $90-million Providence headquarters ""was outfitted with $25 million in decor.""",1
318,The Ryan budget gets rid of Medicare in 10 years and turns it into a voucher program.,1
319,Rally Of Deplorables Call For Clinton Assassination – Paul Ryan’s Reaction Is Infuriating (VIDEO),1
320,‘Nothing Short of a Miracle’: No Serious Injuries in Tappan Zee Crane Collapse - The New York Times,0
321,Hitler didnt want unions. Stalin didnt want unions. Mubarak didnt want independent unions. These autocrats in history dont want independent unions.,0
322,"Wells Fargo Offers Regrets, but Doesn’t Admit Misconduct - The New York Times",0
323,"This year, the overwhelming majority of new jobs are part time.",0
324,"""McCain opposes repeal of the death tax.""",0
325,"MikeHuckabee.com gets ""more hits than virtually any other presidential candidate.""",0
326,The State of Wisconsin thinks you should have to wash your hands at least 28 times to make one peanut butter-and-jelly sandwich.,0
327,On switching parties.,1
328,"""We've heard talk about curbing our use of fossil fuels in nearly every State of the Union address since the oil embargo of 1973.""",0
329,The majority of Americans now doubt that our children will have a better future.,0
330,Scott Walker gave Wisconsin job creation money to his cronies: corporate friends who contributed to his campaigns and got $570 million in job-development incentives,1
331,"Says under President Barack Obama, the debt increased by 23 percent, which was less than under any president going back to Ronald Reagan.",1
332,U.S. Rep. John Barrows plan puts the IRS in charge of your health care.,1
333,Wisconsin education agency urged white students to wear white wristbands as a reminder about your (white) privilege.,1
334,"Since Sherrod Brown and the Democrats rammed the economic stimulus bill through, Ohios unemployment rate has risen to 9.6 percent, above the national average.",0
335,"Says traffic fatalities have fallen dramatically, even as population has risen. You are more likely to stay alive biking, walking and driving around Portland than you were before he took over the Portland Bureau of Transportation.",0
336,We sell 40 percent of our guns without a background check.,0
337,"David Brooks: Whites are “voting their gene pool” after being “ruined” by globalization, immigration, and feminism",1
338,"The president has said the national security threat facing America, the top one, is global warming.",1
339,Says Milwaukee County Executive Chris Abele once proposed a plan to end county funding to homeless shelters.,1
340,"In the past three years, weve added enough new oil and gas pipeline to circle the Earth and then some.",0
341,"In a few months, this deal would give Iran $150 billion for its $300 billion to $400 billion economy, which is like $8 trillion flowing into the United States treasury.",1
342,The 2009 stimulus bill failed to get people back to work.,1
343,Chelsea Handler Calls Trump a ’F*cking Loser’ at L.A. Library Benefit,0
344,Says Florida is a model for successful pretrial release programs.,0
345,Bike lanes and sidewalks have been proven to reduce crashes by up to 38 percent on Austins streets.,1
346,The Fed created $15 trillion in the bailout process and $5 trillion went overseas.,1
347,A Dallas proof-of-insurance ordinance resulted in area tow lots mostly filling with the cars of illegal residents.,1
348,Says Obama policies contributed to gas prices rising from $1.89 in January 2009 to $3.51 today.,1
349,Mitt Romney supervised a company guilty of massive Medicare fraud.,0
350,Says top Clinton advisers were pressing birther movement stories very hard.,1
351,"""There are so many loopholes ... our businesses pay effectively one of the lowest tax rates in the world.""",0
352,"The states tax burden has, according to census figures released today, cost our state another 190,000 residents in 2009.",1
353,Says Marco Rubio was for immigration reform and a pathway to citizenship before he was against it.,1
354,"""When we've got CEOs making more in 10 minutes than ordinary workers are making in a year ... then something is wrong.""",0
